line_no	text	annotation
91	فال بعض ان مدرك للکلّيات والجزئيات المجرّدة خوالنفس	Corrupt philosophical note on the knower of universals and particulars.
92	المادّليل هوا قوي الج نیّت و صورها	The text is heavily corrupted and difficult to normalize with confidence.
93	الناطق وصور همافيها ولالجزئیّات	It continues discussing forms and cognition in unclear wording.
94	ِیهاو قال بعض الحققین منهاان المدرکب للکلّيت ولجزئيات مجرّدة	A rival view of cognition is attributed to "some investigators".
95	اوماّدة هوالعقل وصورها فيها ونسبت الاوراک الي فوا همامجاز عقلیّ	The intellect is mentioned as knower; attribution is said to be figurative.
96	كسبت القطع الالسّکین وقال بعضهم ان مدرک الکل من الکلیات و الجزئيات	Further corrupt philosophical distinctions continue.
97	المجردّة او الاّ دة هاوالعقل لكن صورلکلّيات والجزئيات	Universals, particulars, and the intellect remain the apparent topic.
98	والّنفس وصورالجزييات يالجسما نيت فی الانها ووفع هنا ثالست هذا مسبب	The line is severely noisy but still concerns soul, body, and forms.
99	والختارالاخبران والاوّل من الاخيران ارجع بشهادة الوجدانا علح	The author or copy seems to prefer one of the reported views.
100	انّاه مر في المحّل الّذی الکلّيات ولا کان ذكرالمحلّ هوالنّفس	The locus of universals and the soul are discussed.
101	وفاقا ثبت ان محّل الکلّ هوانَّفس طال الحقّا هوالمذهب الاوّل	The first doctrine appears to be favored as the true position.
102	بشهادة ان الحيوانات مع کونها فا قرة للنفس المجرّدة مدرکت الجزئيّات	An argument from animal perception of particulars is introduced.
103	الحوست والعانى المنزعت منها قلات انهاحاسات الادرکات	Sensible particulars and abstracted meanings are mentioned in corrupt form.
104	ثمان من ادلت الذهب الاول ان الادراک نقیض ارتسام الدرک في الدرک	The fragment closes with a further argument for the first view.
